epoch,train_loss,val_loss,train_error1,val_error1,train_error5,val_error5,val_quant_error1,val_quant_error5
119,0.9631953063583374,1.7248070741653443,28.982,45.11,6.617999999999995,17.33,44.73,17.33
120,0.9616202261734009,1.7178485511779784,29.012,43.34,6.622,16.53,43.83,16.819999999999993
121,0.9587809251785279,1.7373479122161866,28.623999999999995,44.1,6.688000000000002,17.200000000000003,44.27,17.349999999999994
122,0.9609503527069092,1.7373010486602782,28.796000000000006,44.19,6.611999999999995,17.400000000000006,44.43,17.58
123,0.9625711985015869,1.7267406810760497,28.703999999999994,44.38,6.719999999999999,17.180000000000007,44.5,17.36
124,0.9568232693004608,1.7374274717330933,28.885999999999996,44.39,6.602000000000004,17.200000000000003,44.89,17.269999999999996
125,0.9496413912963867,1.7341373403549194,28.646,44.54,6.462000000000003,16.939999999999998,44.58,17.269999999999996
126,0.9527043151092529,1.7276488008499145,28.537999999999997,43.9,6.475999999999999,16.489999999999995,43.98,16.819999999999993
127,0.9384895841217041,1.7526772609710692,28.626000000000005,44.31,6.231999999999999,17.069999999999993,44.71,17.58
128,0.9531118181228637,1.753694637298584,28.733999999999995,44.44,6.528000000000006,17.25,44.36,17.129999999999995
129,0.9503653553390503,1.7325631803512573,28.462000000000003,44.13,6.459999999999994,17.14,43.8,16.799999999999997
130,0.9501241753005981,1.743748503112793,28.592,44.34,6.353999999999999,17.400000000000006,44.09,17.400000000000006
131,0.9443144614982605,1.7235449819564819,28.293999999999997,44.53,6.513999999999996,16.590000000000003,44.74,16.810000000000002
132,0.9418647336959839,1.7535384916305543,28.474000000000004,44.68,6.317999999999998,16.950000000000003,44.61,17.209999999999994
133,0.9308973985862732,1.7359239431381226,28.042,43.76,6.141999999999996,17.189999999999998,43.96,17.040000000000006
134,0.9324069477081299,1.7485914779663085,27.988,44.37,6.280000000000001,16.939999999999998,44.5,17.060000000000002
135,0.9277126652050018,1.7563078742980958,27.986000000000004,44.01,6.182000000000002,17.03,43.98,17.019999999999996
136,0.9382399270629883,1.7439761287689208,28.510000000000005,43.99,6.257999999999996,16.83,44.33,16.980000000000004
137,0.9397464261627198,1.7637754787445068,28.186000000000007,43.87,6.343999999999994,16.75,44.39,16.950000000000003
138,0.9208116458129882,1.747291277694702,27.854,44.23,6.073999999999998,16.950000000000003,44.54,16.980000000000004
139,0.9269705652618409,1.7749602817535401,28.061999999999998,44.43,5.965999999999994,16.989999999999995,44.7,17.200000000000003
140,0.9275022905158996,1.7599218921661377,28.042,44.31,6.206000000000003,17.209999999999994,44.21,17.319999999999993
141,0.919670778541565,1.7369892007827759,27.825999999999993,44.39,6.043999999999997,16.75,44.36,16.5
142,0.9207342056083679,1.7456192049026489,27.714,44.24,6.073999999999998,16.799999999999997,44.13,16.959999999999994
143,0.9206396725845337,1.732108119392395,27.714,43.98,6.1299999999999955,17.03,44.32,17.33
144,0.9251825552368164,1.7488734638214112,27.894000000000005,44.01,6.236000000000004,17.08,44.15,16.83
145,0.923001462059021,1.756195662689209,28.036,44.42,5.908000000000001,16.760000000000005,44.28,17.14
146,0.9188215817832946,1.7810248937606812,27.586,44.49,5.986000000000004,17.11,44.83,17.42
147,0.9185132543563843,1.7492812244415283,27.498000000000005,44.34,6.055999999999997,16.790000000000006,44.22,16.819999999999993
148,0.9237577436065674,1.7434689926147462,27.870000000000005,44.58,6.191999999999993,17.349999999999994,44.67,17.629999999999995
149,0.911747194480896,1.7596770204544068,27.566000000000003,44.29,5.956000000000003,17.159999999999997,44.54,17.430000000000007
